15min_bin,glucose
2019-08-01 23:15:00,5.1
2019-08-01 23:30:00,5.3
2019-08-01 23:45:00,5.2
2019-08-02 00:00:00,4.9
2019-08-02 00:15:00,4.8
2019-08-02 00:30:00,4.9
2019-08-02 00:45:00,5.3
2019-08-02 01:00:00,5.6
2019-08-02 01:15:00,5.6
2019-08-02 01:30:00,5.4
2019-08-02 01:45:00,5.3
2019-08-02 02:00:00,5.0
2019-08-02 02:15:00,4.9
2019-08-02 02:30:00,5.1
2019-08-02 02:45:00,5.2
2019-08-02 03:00:00,5.2
2019-08-02 03:15:00,4.9
2019-08-02 03:30:00,4.9
2019-08-02 03:45:00,5.3
2019-08-02 04:00:00,6.0
2019-08-02 04:15:00,5.9
2019-08-02 04:30:00,5.5
2019-08-02 04:45:00,5.4
2019-08-02 05:00:00,5.6
2019-08-02 05:15:00,5.9
2019-08-02 05:30:00,5.9
2019-08-02 05:45:00,5.7
2019-08-02 06:00:00,6.0
2019-08-02 06:15:00,6.699999999999999
2019-08-02 06:30:00,6.4
2019-08-02 06:45:00,6.45
2019-08-02 07:00:00,6.6000000000000005
2019-08-02 07:15:00,6.4
2019-08-02 07:30:00,6.6
2019-08-02 07:45:00,7.1
2019-08-02 08:00:00,7.0
2019-08-02 08:15:00,6.7
2019-08-02 08:30:00,6.8
2019-08-02 08:45:00,6.65
2019-08-02 09:00:00,6.7
2019-08-02 09:15:00,6.6
2019-08-02 09:30:00,6.6
2019-08-02 09:45:00,6.65
2019-08-02 10:00:00,6.7
2019-08-02 10:15:00,6.449999999999999
2019-08-02 10:30:00,6.65
2019-08-02 10:45:00,6.7
2019-08-02 11:00:00,6.7
2019-08-02 11:15:00,6.4
2019-08-02 11:30:00,6.3
2019-08-02 11:45:00,6.35
2019-08-02 12:00:00,6.233333333333333
2019-08-02 12:15:00,6.35
2019-08-02 12:30:00,7.8
2019-08-02 12:45:00,7.4
2019-08-02 13:00:00,5.533333333333334
2019-08-02 13:15:00,5.35
2019-08-02 13:30:00,5.4
2019-08-02 13:45:00,5.8
2019-08-02 14:00:00,5.9
2019-08-02 14:15:00,5.7
2019-08-02 14:30:00,5.6
2019-08-02 14:45:00,5.566666666666666
2019-08-02 15:00:00,5.7
2019-08-02 15:15:00,5.35
2019-08-02 15:30:00,5.6
2019-08-02 15:45:00,5.6
2019-08-02 16:00:00,6.3
2019-08-02 16:15:00,6.95
2019-08-02 16:30:00,6.5
2019-08-02 16:45:00,6.0
2019-08-02 17:00:00,5.1
2019-08-02 17:15:00,5.1
2019-08-02 17:30:00,5.1
2019-08-02 17:45:00,5.1
2019-08-02 18:00:00,5.1
2019-08-02 18:15:00,5.2
2019-08-02 18:30:00,5.25
2019-08-02 18:45:00,5.25
2019-08-02 19:00:00,4.866666666666667
2019-08-02 19:15:00,4.9
2019-08-02 19:30:00,5.45
2019-08-02 19:45:00,6.3
2019-08-02 20:00:00,6.65
2019-08-02 20:15:00,6.733333333333333
2019-08-02 20:30:00,5.3
2019-08-02 20:45:00,4.9
2019-08-02 21:00:00,5.166666666666667
2019-08-02 21:15:00,5.35
2019-08-02 21:30:00,5.0
2019-08-02 21:45:00,4.9
2019-08-02 22:00:00,4.550000000000001
2019-08-02 22:15:00,4.7
2019-08-02 22:30:00,4.8
2019-08-02 22:45:00,5.15
2019-08-02 23:00:00,4.9
2019-08-02 23:15:00,4.9
2019-08-02 23:30:00,4.7
2019-08-02 23:45:00,4.7
2019-08-03 00:00:00,4.6
2019-08-03 00:15:00,4.6
2019-08-03 00:30:00,4.7
2019-08-03 00:45:00,4.8
2019-08-03 01:00:00,4.7
2019-08-03 01:15:00,4.5
2019-08-03 01:30:00,4.2
2019-08-03 01:45:00,4.1
2019-08-03 02:00:00,4.3
2019-08-03 02:15:00,4.3
2019-08-03 02:30:00,4.1
2019-08-03 02:45:00,3.9
2019-08-03 03:00:00,4.7
2019-08-03 03:15:00,5.2
2019-08-03 03:30:00,5.1
2019-08-03 03:45:00,5.1
2019-08-03 04:00:00,5.2
2019-08-03 04:15:00,4.8
2019-08-03 04:30:00,4.7
2019-08-03 04:45:00,4.7
2019-08-03 05:00:00,4.3
2019-08-03 05:15:00,3.9
2019-08-03 05:30:00,4.6
2019-08-03 05:45:00,4.8
2019-08-03 06:00:00,5.2
2019-08-03 06:15:00,5.65
2019-08-03 06:30:00,5.9
2019-08-03 06:45:00,5.6
2019-08-03 07:00:00,5.9
2019-08-03 07:15:00,6.2
2019-08-03 07:30:00,6.5
2019-08-03 07:45:00,6.7
2019-08-03 08:00:00,6.8
2019-08-03 08:15:00,6.7
2019-08-03 08:30:00,6.7
2019-08-03 08:45:00,6.6
2019-08-03 09:00:00,6.6
2019-08-03 09:15:00,6.35
2019-08-03 09:30:00,6.3
2019-08-03 09:45:00,6.2
2019-08-03 10:00:00,6.6
2019-08-03 10:15:00,6.9
2019-08-03 10:30:00,7.1
2019-08-03 10:45:00,6.6
2019-08-03 11:00:00,6.35
2019-08-03 11:15:00,7.5
2019-08-03 11:30:00,8.3
2019-08-03 11:45:00,7.8
2019-08-03 12:00:00,7.2
2019-08-03 12:15:00,7.5
2019-08-03 12:30:00,6.15
2019-08-03 12:45:00,5.0
2019-08-03 13:00:00,4.6
2019-08-03 13:15:00,5.45
2019-08-03 13:30:00,6.7
2019-08-03 13:45:00,6.1
2019-08-03 14:00:00,5.7
2019-08-03 14:15:00,6.6
2019-08-03 14:30:00,7.3
2019-08-03 14:45:00,6.949999999999999
2019-08-03 15:00:00,6.433333333333334
2019-08-03 15:15:00,6.8
2019-08-03 15:30:00,6.6
2019-08-03 15:45:00,5.8999999999999995
2019-08-03 16:00:00,5.8
2019-08-03 16:15:00,6.3
2019-08-03 16:30:00,7.0
2019-08-03 16:45:00,6.85
2019-08-03 17:00:00,5.9
2019-08-03 17:15:00,5.4
2019-08-03 17:30:00,5.55
2019-08-03 17:45:00,5.4
2019-08-03 18:00:00,5.0
2019-08-03 18:15:00,5.2
2019-08-03 18:30:00,5.5
2019-08-03 18:45:00,5.4
2019-08-03 19:00:00,5.5
2019-08-03 19:15:00,5.55
